Document,Date,SalePrice,PropertyID,PropertyType,ym,zhvi_px,zhvi_idx,AdjSalePrice,NbrLivingUnits,SqFtLot,SqFtTotLiving,SqFtFinBasement,Bathrooms,Bedrooms,BldgGrade,YrBuilt,YrRenovated,TrafficNoise,LandVal,ImpsVal,ZipCode,NewConstruction
35,02/12/2011,527000,11510400,Single Family,01/12/2011,311900,0.716681985,735333,1,9948,2230,0,2.75,3,9,1993,0,0,269000,347000,98052,FALSE
36,07/01/2008,585000,11520030,Single Family,01/01/2008,421900,0.969439338,603442,1,9594,2341,0,2.5,4,9,1997,0,0,269000,347000,98052,FALSE
37,26/08/2008,705000,11520090,Single Family,01/08/2008,397900,0.914292279,771088,1,9185,3540,1510,3.75,4,9,1996,0,0,269000,483000,98052,FALSE
38,26/11/2007,697500,11520400,Single Family,01/11/2007,428400,0.984375,708571,1,9001,2470,0,2.5,3,9,1995,0,0,269000,382000,98052,FALSE
39,14/01/2008,721500,11520550,Single Family,01/01/2008,421900,0.969439338,744245,1,9012,2810,0,2.5,4,9,1996,0,0,269000,429000,98052,FALSE
40,01/05/2006,695000,11520590,Single Family,01/05/2006,400600,0.920496324,755027,1,9100,2590,0,2.5,4,9,1996,0,0,269000,402000,98052,FALSE
41,04/05/2006,395000,11900010,Single Family,01/05/2006,400600,0.920496324,429116,1,5420,2330,0,2.75,3,8,2003,0,1,87000,211000,98042,FALSE
42,12/01/2006,330000,11900050,Single Family,01/01/2006,383200,0.880514706,374781,1,4500,1850,0,2.5,3,8,2004,0,0,90000,185000,98042,FALSE
43,16/12/2011,222300,11900050,Single Family,01/12/2011,311900,0.716681985,310179,1,4500,1850,0,2.5,3,8,2004,0,0,90000,185000,98042,FALSE
44,29/11/2007,369950,11900080,Single Family,01/11/2007,428400,0.984375,375822,1,4800,1920,0,2.5,4,8,2004,0,0,90000,189000,98042,FALSE
45,18/08/2006,377000,11900140,Single Family,01/08/2006,411100,0.944623162,399101,1,4597,1850,0,2.5,3,8,2003,0,0,90000,183000,98042,FALSE
46,09/05/2014,254000,11900140,Single Family,01/05/2014,398100,0.914751838,277671,1,4597,1850,0,2.5,3,8,2003,0,0,90000,183000,98042,FALSE
47,18/01/2007,279950,13001225,Single Family,01/01/2007,425600,0.977941176,286265,1,5085,920,0,1,3,7,1954,0,2,80000,120000,98108,FALSE
50,26/01/2006,259000,16000460,Single Family,01/01/2006,383200,0.880514706,294146,1,5635,1190,0,1,3,7,1922,0,1,61000,127000,98002,FALSE
51,04/04/2006,212000,16000500,Single Family,01/04/2006,396500,0.911075368,232692,1,4543,1290,0,1,3,7,1951,0,0,61000,152000,98002,FALSE
52,08/10/2014,515000,23500190,Single Family,01/10/2014,407400,0.936121324,550142,1,7800,2470,1000,2.25,4,8,1975,0,0,269000,283000,98052,FALSE
53,08/06/2006,535000,23500440,Single Family,01/06/2006,404400,0.929227941,575747,1,9030,2730,1260,2.5,5,8,1976,0,0,269000,301000,98052,FALSE
54,02/05/2012,447500,23500460,Single Family,01/05/2012,318000,0.730698529,612428,1,9800,1980,680,2.75,4,8,1976,0,0,269000,270000,98052,FALSE
55,30/12/2010,343000,23520190,Single Family,01/12/2010,330600,0.759650735,451523,1,9750,1470,0,1.75,3,7,1978,0,0,269000,177000,98052,FALSE
56,24/09/2008,518000,23520250,Single Family,01/09/2008,394900,0.907398897,570862,1,11000,2410,1040,2.5,4,7,1978,0,0,269000,275000,98052,FALSE
57,06/10/2010,359000,23520620,Single Family,01/10/2010,334700,0.769071691,466797,1,9200,1850,490,2,3,7,1977,0,0,269000,190000,98052,FALSE
58,11/07/2006,625000,31000020,Single Family,01/07/2006,407700,0.936810662,667157,1,7140,1690,0,1.75,3,8,1955,0,0,541000,205000,98040,FALSE
59,25/05/2007,638000,31000040,Single Family,01/05/2007,432100,0.992876838,642577,1,7140,1510,0,1.5,3,8,1955,0,0,541000,166000,98040,FALSE
60,24/10/2007,705000,31000131,Single Family,01/10/2007,431300,0.991038603,711375,1,8568,1500,0,1.5,3,8,1954,0,0,541000,172000,98040,FALSE
61,21/05/2007,699500,31000165,Single Family,01/05/2007,432100,0.992876838,704518,1,7821,3620,830,3.5,5,10,1958,2010,0,541000,808000,98040,FALSE
62,13/04/2012,1285000,31000165,Single Family,01/04/2012,315200,0.724264706,1774213,1,7821,3620,830,3.5,5,10,1958,2010,0,541000,808000,98040,FALSE
63,05/10/2006,830000,31000270,Single Family,01/10/2006,418300,0.961167279,863533,1,8736,3060,1530,2.5,3,8,1956,0,0,500000,284000,98040,FALSE
64,30/01/2012,350000,34001020,Single Family,01/01/2012,311600,0.715992647,488832,1,4000,1240,620,2,3,6,1918,2012,0,194000,232000,98136,FALSE
65,19/05/2008,435000,34001246,Single Family,01/05/2008,407400,0.936121324,464683,1,5320,1490,250,1.75,3,8,1962,0,0,201000,282000,98136,FALSE
66,16/06/2006,700000,34001648,Single Family,01/06/2006,404400,0.929227941,753314,1,5098,1790,980,2.5,3,9,2005,0,0,289000,464000,98136,TRUE
67,25/10/2010,660000,34001648,Single Family,01/10/2010,334700,0.769071691,858177,1,5098,1790,980,2.5,3,9,2005,0,0,289000,464000,98136,FALSE
68,27/08/2012,539800,34001765,Single Family,01/08/2012,327500,0.752527574,717316,1,5460,2230,800,3.25,3,8,1977,0,0,231000,435000,98136,FALSE
70,25/08/2011,240000,34001865,Single Family,01/08/2011,312700,0.718520221,334020,1,4320,760,0,1,2,6,1941,0,1,212000,120000,98136,FALSE
71,15/06/2006,358950,37000505,Single Family,01/06/2006,404400,0.929227941,386288,1,7980,2080,0,1.75,3,7,1937,0,0,189000,281000,98126,FALSE
72,09/07/2010,289950,37000560,Single Family,01/07/2010,342800,0.787683824,368105,1,5320,1180,0,1.75,3,7,1968,0,0,179000,174000,98126,FALSE
73,12/06/2006,283000,40000006,Single Family,01/06/2006,404400,0.929227941,304554,1,8631,1130,0,1.75,3,7,1955,0,0,91000,143000,98168,FALSE
74,20/03/2014,357500,40000235,Single Family,01/03/2014,392100,0.900965074,396797,1,8428,2130,0,2.5,5,7,2013,0,0,94000,275000,98168,TRUE
75,06/05/2014,78000,40000362,Single Family,01/05/2014,398100,0.914751838,85269,1,16344,780,0,1,2,5,1942,0,1,125000,1000,98168,FALSE
76,07/05/2007,430450,40000511,Single Family,01/05/2007,432100,0.992876838,433538,1,7288,1800,0,2.5,3,8,2007,0,1,102000,241000,98168,TRUE
77,16/08/2006,289000,40000517,Single Family,01/08/2006,411100,0.944623162,305942,1,7920,2100,1050,2,4,7,1967,0,1,102000,136000,98168,FALSE
78,09/05/2008,235000,40000553,Single Family,01/05/2008,407400,0.936121324,251036,1,19570,1400,300,1,2,6,1929,0,3,105000,77000,98168,FALSE
79,03/11/2006,200000,40000961,Single Family,01/11/2006,421200,0.967830882,206648,1,8140,700,0,1,1,6,1943,0,0,104000,70000,98168,FALSE
80,29/07/2006,531000,41000387,Single Family,01/07/2006,407700,0.936810662,566817,1,19350,5050,2500,3.75,5,9,1959,0,0,109000,351000,98188,FALSE
81,19/07/2007,190000,41000454,Single Family,01/07/2007,434200,0.997702206,190438,1,9000,880,0,1,2,5,1928,0,1,91000,37000,98188,FALSE
82,16/10/2012,89000,41000454,Single Family,01/10/2012,332400,0.763786765,116525,1,9000,880,0,1,2,5,1928,0,1,91000,37000,98188,FALSE
83,28/06/2006,458000,41000551,Single Family,01/06/2006,404400,0.929227941,492882,1,10498,2730,0,2.5,4,8,2002,0,0,114000,252000,98188,FALSE
84,13/10/2006,225000,42000006,Single Family,01/10/2006,418300,0.961167279,234090,1,9282,1500,0,1,5,6,1966,0,1,104000,161000,98168,FALSE
85,23/04/2014,200000,42000127,Single Family,01/04/2014,395300,0.908318015,220187,1,10080,1970,0,1.5,3,7,1966,0,0,114000,137000,98168,FALSE
86,12/06/2007,271300,42000136,Single Family,01/06/2007,433200,0.995404412,272553,1,9180,3670,0,4.25,6,10,2008,0,0,110000,531000,98168,FALSE
87,25/10/2010,1713000,46100350,Single Family,01/10/2010,334700,0.769071691,2227361,1,26540,5000,1590,3.5,5,10,2008,0,0,1013000,1053000,98040,FALSE
88,07/07/2008,1852000,46100509,Single Family,01/07/2008,400300,0.919806985,2013466,1,16240,5050,1200,3.25,4,11,1987,0,0,876000,813000,98040,FALSE
89,19/03/2008,3650000,46100510,Single Family,01/03/2008,415100,0.953814338,3826741,1,16750,6210,0,5.5,5,11,2009,0,0,2412000,2698000,98040,FALSE
90,25/05/2006,281000,49000015,Single Family,01/05/2006,400600,0.920496324,305270,1,8040,2220,1110,1.75,4,7,1955,0,0,161000,188000,98146,FALSE
91,28/08/2006,200000,49000052,Single Family,01/08/2006,411100,0.944623162,211725,1,7201,1250,0,1.75,3,6,1983,0,1,143000,134000,98146,FALSE
92,12/02/2007,399950,49000083,Single Family,01/02/2007,427800,0.982996324,406868,1,8336,1420,310,1.5,3,7,1955,0,0,161000,175000,98146,FALSE
93,19/09/2007,421000,49500140,Single Family,01/09/2007,433500,0.99609375,422651,1,8285,2160,0,2.5,4,7,1963,0,0,162000,188000,98059,FALSE
94,08/05/2008,325775,49500160,Single Family,01/05/2008,407400,0.936121324,348005,1,7984,1150,0,1,3,7,1961,0,0,162000,141000,98059,FALSE
95,09/07/2007,450000,50300060,Single Family,01/07/2007,434200,0.997702206,451036,1,13042,2520,0,3,5,8,2003,0,0,105000,241000,98042,FALSE
96,03/10/2006,420000,50300240,Single Family,01/10/2006,418300,0.961167279,436969,1,9520,2180,0,2.5,4,8,2004,0,0,105000,225000,98042,FALSE
97,04/01/2013,277000,50300370,Single Family,01/01/2013,342800,0.787683824,351664,1,8408,1900,0,2.5,4,8,2004,0,0,105000,209000,98042,FALSE
98,25/09/2006,592000,50700010,Single Family,01/09/2006,414800,0.953125,621115,1,15295,3340,0,2.5,4,10,1990,0,0,128000,344000,98023,FALSE
99,19/01/2006,339950,51000220,Single Family,01/01/2006,383200,0.880514706,386081,1,13125,2480,880,2.5,5,8,1977,0,0,108000,201000,98023,FALSE
111,17/03/2007,805000,56000095,Single Family,01/03/2007,429600,0.987132353,815493,1,5875,2600,1000,2.75,3,8,1929,0,2,286000,567000,98116,FALSE
112,28/08/2007,689975,56000155,Single Family,01/08/2007,434600,0.998621324,690928,1,5000,1560,780,1.75,2,7,1936,0,2,344000,151000,98116,FALSE
113,11/04/2007,619950,59000080,Single Family,01/04/2007,430900,0.990119485,626137,1,5000,2880,1440,2,4,8,1941,0,2,260000,275000,98116,FALSE
114,23/03/2007,695000,59000150,Single Family,01/03/2007,429600,0.987132353,704060,1,3440,1830,220,1.5,3,8,1941,0,2,201000,418000,98116,FALSE
115,03/11/2006,531000,59000765,Single Family,01/11/2006,421200,0.967830882,548650,1,6000,2480,1240,1.75,5,7,1955,0,1,259000,408000,98116,FALSE
116,25/04/2006,385000,59500260,Single Family,01/04/2006,396500,0.911075368,422578,1,7045,1810,360,2.5,4,7,1988,0,0,91000,224000,98032,FALSE
117,30/07/2007,453000,66000025,Single Family,01/07/2007,434200,0.997702206,454043,1,6300,1590,930,1.75,3,7,1925,0,0,238000,248000,98126,FALSE
118,23/03/2006,391000,66000175,Single Family,01/03/2006,392100,0.900965074,433979,1,6550,1850,0,2,3,7,1985,0,0,238000,276000,98126,FALSE
119,07/02/2006,282000,66000280,Single Family,01/02/2006,387600,0.890625,316632,1,6550,1810,0,1.5,3,7,1950,0,0,238000,249000,98126,FALSE
120,29/08/2011,230000,66000350,Single Family,01/08/2011,312700,0.718520221,320102,1,6600,2210,790,2.5,4,8,1943,2011,0,238000,429000,98136,FALSE
121,21/02/2007,515000,66000410,Single Family,01/02/2007,427800,0.982996324,523908,1,6500,1680,590,1.75,3,7,1944,0,0,238000,226000,98126,FALSE
122,13/06/2013,425000,66000445,Single Family,01/06/2013,366100,0.841222426,505217,1,6550,1810,770,1.5,3,7,1928,0,0,238000,239000,98126,FALSE
123,01/03/2007,389950,66000450,Single Family,01/03/2007,429600,0.987132353,395033,1,6550,1370,600,1.75,3,6,1914,0,0,238000,189000,98126,FALSE
124,14/05/2009,375000,66000450,Single Family,01/05/2009,360700,0.828814338,452454,1,6550,1370,600,1.75,3,6,1914,0,0,238000,189000,98126,FALSE
125,14/08/2008,460000,66000460,Single Family,01/08/2008,397900,0.914292279,503121,1,6550,1720,700,2,4,7,1975,0,0,238000,281000,98126,FALSE
126,27/02/2006,290000,66000485,Single Family,01/02/2006,387600,0.890625,325614,1,6419,1080,300,1,2,6,1918,0,0,238000,165000,98126,FALSE
127,18/01/2006,630000,72000035,Single Family,01/01/2006,383200,0.880514706,715491,1,4109,2810,1060,3,4,8,1918,2013,0,302000,663000,98103,FALSE
128,07/07/2006,560000,72000040,Single Family,01/07/2006,407700,0.936810662,597773,1,4109,2110,970,1.75,4,7,1924,0,0,302000,318000,98103,FALSE
129,21/04/2009,575000,72000040,Single Family,01/04/2009,365000,0.838694853,685589,1,4109,2110,970,1.75,4,7,1924,0,0,302000,318000,98103,FALSE
130,02/05/2006,210000,84000052,Single Family,01/05/2006,400600,0.920496324,228138,1,5040,1180,0,1,2,6,1942,0,2,83000,81000,98168,FALSE
131,07/04/2011,125000,84000245,Single Family,01/04/2011,318700,0.732306985,170693,1,9452,1100,0,1.75,3,6,1942,0,0,103000,80000,98146,FALSE
132,22/05/2006,304000,84000310,Single Family,01/05/2006,400600,0.920496324,330257,1,11475,1260,0,1,4,6,1942,0,0,108000,117000,98146,FALSE
133,06/11/2013,185000,87000029,Single Family,01/11/2013,382600,0.879136029,210434,1,10450,2930,840,2.5,7,7,1950,0,2,92000,120000,98055,FALSE
134,30/03/2006,257000,87000256,Single Family,01/03/2006,392100,0.900965074,285250,1,18090,1370,0,1,3,6,1947,0,0,138000,103000,98055,FALSE
135,26/01/2011,320000,87000283,Single Family,01/01/2011,328100,0.75390625,424456,1,7800,1980,0,2.5,3,8,1999,0,0,86000,221000,98055,FALSE
136,18/11/2014,359950,87000283,Single Family,01/11/2014,410700,0.943704044,381423,1,7800,1980,0,2.5,3,8,1999,0,0,86000,221000,98055,FALSE
137,14/06/2006,389950,88000280,Single Family,01/06/2006,404400,0.929227941,419649,1,29800,1270,0,0.75,2,6,1949,1990,0,155000,113000,98055,FALSE
138,06/09/2006,289950,88000425,Single Family,01/09/2006,414800,0.953125,304210,1,8500,1320,0,1.5,3,7,2003,0,1,87000,153000,98055,FALSE
139,03/06/2008,530000,91000325,Single Family,01/06/2008,403200,0.926470588,572063,1,4761,1530,300,1.5,3,7,1925,0,0,271000,364000,98103,FALSE
140,26/03/2008,520000,97000120,Single Family,01/03/2008,415100,0.953814338,545179,1,4000,1590,0,1,4,7,1907,0,1,249000,331000,98122,FALSE
141,31/08/2006,880000,97000140,Single Family,01/08/2006,411100,0.944623162,931588,1,6000,2280,930,2.5,4,8,1980,0,1,370000,487000,98122,FALSE
142,20/06/2007,865000,97000275,Single Family,01/06/2007,433200,0.995404412,868994,1,4000,3080,1020,2.5,5,8,1925,0,0,312000,532000,98122,FALSE
153,16/10/2006,1020000,98000030,Single Family,01/10/2006,418300,0.961167279,1061210,1,12946,5210,0,3.25,4,11,2002,0,1,288000,777000,98075,FALSE
154,27/11/2006,1140000,98000100,Single Family,01/11/2006,421200,0.967830882,1177892,1,17584,4610,0,4,5,11,2004,0,0,380000,721000,98075,FALSE
155,17/08/2010,1274500,98000150,Single Family,01/08/2010,339900,0.781020221,1631840,1,22093,4930,0,4,4,12,2004,0,0,371000,873000,98075,FALSE
156,28/06/2006,1484402,98000190,Single Family,01/06/2006,404400,0.929227941,1597457,1,17771,4960,0,4,4,12,2006,0,0,331000,885000,98075,TRUE
157,28/07/2008,1645000,98000210,Single Family,01/07/2008,400300,0.919806985,1788419,1,15400,5240,0,4.25,5,12,2007,0,0,353000,928000,98075,TRUE
158,04/01/2007,1500000,98000300,Single Family,01/01/2007,425600,0.977941176,1533835,1,14942,4950,0,4.25,5,11,2006,0,0,315000,788000,98075,TRUE
159,11/11/2009,840000,98000310,Single Family,01/11/2009,350900,0.806295956,1041801,1,14205,4630,0,3.5,4,11,2003,0,0,330000,737000,98075,FALSE
160,09/11/2006,958000,98000560,Single Family,01/11/2006,421200,0.967830882,989842,1,15151,3550,0,3.75,4,11,2004,0,0,299000,643000,98075,FALSE
161,13/12/2010,705000,98000560,Single Family,01/12/2010,330600,0.759650735,928058,1,15151,3550,0,3.75,4,11,2004,0,0,299000,643000,98075,FALSE
162,11/08/2006,1095000,98000640,Single Family,01/08/2006,411100,0.944623162,1159192,1,19098,4540,0,3.5,5,11,2003,0,0,337000,709000,98075,FALSE
163,07/11/2007,1200000,98000780,Single Family,01/11/2007,428400,0.984375,1219048,1,16531,5210,0,3.25,4,11,2002,0,0,326000,772000,98075,FALSE
164,18/10/2010,865800,98000870,Single Family,01/10/2010,334700,0.769071691,1125773,1,16271,4460,0,3.5,4,11,2001,0,0,369000,684000,98075,FALSE
165,26/10/2006,1150000,98000880,Single Family,01/10/2006,418300,0.961167279,1196462,1,17679,4220,0,4.25,4,11,2001,0,0,380000,687000,98075,FALSE
166,26/10/2006,1455000,98001170,Single Family,01/10/2006,418300,0.961167279,1513784,1,15783,4840,0,3.5,4,11,2006,0,0,304000,769000,98075,TRUE
167,27/12/2007,1050000,98001220,Single Family,01/12/2007,425200,0.977022059,1074694,1,15644,4160,0,4.5,4,11,2004,0,0,304000,696000,98075,FALSE
168,22/05/2006,1110000,98001230,Single Family,01/05/2006,400600,0.920496324,1205871,1,15709,4330,0,3.5,4,11,2005,0,0,304000,716000,98075,FALSE
169,18/08/2006,1346950,98001240,Single Family,01/08/2006,411100,0.944623162,1425913,1,14479,4630,0,4.5,4,11,2005,0,0,299000,757000,98075,TRUE
170,11/01/2007,1225950,98001250,Single Family,01/01/2007,425600,0.977941176,1253603,1,14837,3950,0,3.5,4,11,2006,0,0,299000,684000,98075,TRUE
171,26/04/2006,949950,98020030,Single Family,01/04/2006,396500,0.911075368,1042669,1,7338,3720,0,4.25,5,10,2004,0,0,276000,528000,98075,TRUE
172,23/07/2011,647500,98020050,Single Family,01/07/2011,314100,0.721737132,897141,1,7845,3550,0,3.5,4,10,2004,0,0,276000,507000,98075,FALSE
173,14/02/2006,700250,98020150,Single Family,01/02/2006,387600,0.890625,786246,1,7121,3150,0,2.5,4,10,2005,0,0,276000,463000,98075,FALSE
174,04/12/2008,669000,98020220,Single Family,01/12/2008,381600,0.876838235,762969,1,8938,3210,0,2.5,4,10,2005,0,0,280000,467000,98075,FALSE
175,20/06/2008,709950,98020310,Single Family,01/06/2008,403200,0.926470588,766295,1,7331,3230,0,2.5,4,10,2004,0,0,276000,465000,98075,FALSE
176,26/05/2006,866750,98020410,Single Family,01/05/2006,400600,0.920496324,941612,1,8030,3320,0,3.75,4,10,2005,0,0,280000,492000,98075,TRUE
177,21/03/2006,885000,98020420,Single Family,01/03/2006,392100,0.900965074,982280,1,8727,4070,0,3.5,4,10,2005,0,0,280000,561000,98075,TRUE
178,05/01/2010,675000,98020430,Single Family,01/01/2010,350800,0.806066176,837400,1,6998,3740,0,3.5,4,10,2005,0,0,242000,382000,98075,FALSE
179,16/05/2006,842950,98020450,Single Family,01/05/2006,400600,0.920496324,915756,1,7380,3190,0,4.25,5,10,2005,0,0,276000,478000,98075,TRUE
180,22/03/2006,869950,98020460,Single Family,01/03/2006,392100,0.900965074,965576,1,7422,3280,0,3.25,4,10,2005,0,0,276000,484000,98075,TRUE
181,13/02/2006,974413,98020730,Single Family,01/02/2006,387600,0.890625,1094078,1,9379,5090,1470,4.5,6,10,2005,0,0,299000,592000,98075,FALSE
182,26/09/2006,745950,98030100,Single Family,01/09/2006,414800,0.953125,782636,1,9924,3100,0,2.75,4,10,2006,0,0,270000,471000,98075,TRUE
183,24/08/2009,800000,98030140,Single Family,01/08/2009,352600,0.810202206,987408,1,8448,3280,0,4,4,10,2007,0,0,280000,501000,98075,TRUE
184,17/03/2010,790000,98030150,Single Family,01/03/2010,350300,0.804917279,981467,1,12297,3510,0,3.5,4,10,2008,0,0,292000,522000,98075,TRUE
185,18/04/2012,710000,98030150,Single Family,01/04/2012,315200,0.724264706,980305,1,12297,3510,0,3.5,4,10,2008,0,0,292000,522000,98075,FALSE
186,23/10/2008,875000,98030160,Single Family,01/10/2008,390600,0.897518382,974910,1,9473,3500,0,3.5,3,10,2008,0,0,285000,526000,98075,TRUE
187,08/03/2006,760331,98030180,Single Family,01/03/2006,392100,0.900965074,843907,1,6565,3490,0,3.25,4,10,2005,0,0,266000,501000,98075,TRUE
188,06/06/2006,869950,98030190,Single Family,01/06/2006,404400,0.929227941,936207,1,11736,4100,0,3.5,4,10,2006,0,0,287000,568000,98075,FALSE
189,28/04/2006,829950,98030230,Single Family,01/04/2006,396500,0.911075368,910956,1,9750,3550,0,3.75,4,10,2005,0,0,270000,512000,98075,FALSE
190,04/08/2006,792656,98030260,Single Family,01/08/2006,411100,0.944623162,839124,1,10145,3780,0,2.5,4,10,2006,0,0,270000,529000,98075,TRUE
191,14/06/2006,750000,98030270,Single Family,01/06/2006,404400,0.929227941,807122,1,12364,3150,0,2.5,4,10,2006,0,0,277000,468000,98075,TRUE
192,19/04/2007,819950,98030320,Single Family,01/04/2007,430900,0.990119485,828132,1,7339,3480,0,2.5,4,10,2006,0,0,276000,501000,98075,TRUE
193,21/12/2006,895000,98030350,Single Family,01/12/2006,423400,0.972886029,919943,1,8074,4100,0,3.75,5,10,2006,0,0,280000,566000,98075,FALSE
194,02/05/2011,758125,98030350,Single Family,01/05/2011,316900,0.728170956,1041136,1,8074,4100,0,3.75,5,10,2006,0,0,280000,566000,98075,FALSE
195,21/03/2007,909950,98030360,Single Family,01/03/2007,429600,0.987132353,921812,1,8860,4100,0,3.5,4,10,2006,0,0,280000,572000,98075,TRUE
196,22/05/2006,850915,98030380,Single Family,01/05/2006,400600,0.920496324,924409,1,10365,4070,0,3.5,4,10,2006,0,0,285000,565000,98075,FALSE
197,20/12/2007,879950,98030400,Single Family,01/12/2007,425200,0.977022059,900645,1,6098,3560,0,3.5,4,10,2006,0,0,266000,509000,98075,TRUE
198,26/12/2006,965950,98030440,Single Family,01/12/2006,423400,0.972886029,992871,1,6635,3480,0,3.5,4,10,2006,0,0,266000,509000,98075,TRUE
199,20/09/2007,832475,98030470,Single Family,01/09/2007,433500,0.99609375,835740,1,8629,3730,0,3,4,10,2006,0,0,280000,520000,98075,TRUE
200,03/04/2007,781123,98030520,Single Family,01/04/2007,430900,0.990119485,788918,1,6866,3200,0,2.75,5,10,2007,0,0,266000,484000,98075,TRUE
